Provider,PDF Links,PDF Count,Webpage Links,Webpage Count,All Links,Total Count
Mississippi Medicaid,"[""https://medicaid.ms.gov/wp-content/uploads/2014/10/Admin-Code-Part-219.pdf""]",1,"[""https://medicaid.ms.gov/wp-content/uploads/2014/10/Admin-Code-Part-219.pdf""]",1,"[""https://medicaid.ms.gov/wp-content/uploads/2014/10/Admin-Code-Part-219.pdf"", ""https://medicaid.ms.gov/wp-content/uploads/2014/10/Admin-Code-Part-219.pdf""]",2
Missouri Medicaid,[],0,"[""https://revisor.mo.gov/main/OneSection.aspx?section=191.325"", ""https://revisor.mo.gov/main/OneSection.aspx?section=375.1303"", ""https://revisor.mo.gov/main/OneSection.aspx?section=376.1275"", ""https://mydss.mo.gov/mhd/MO-HealthNet-coverage-FAQ""]",4,"[""https://revisor.mo.gov/main/OneSection.aspx?section=191.325"", ""https://revisor.mo.gov/main/OneSection.aspx?section=375.1303"", ""https://revisor.mo.gov/main/OneSection.aspx?section=376.1275"", ""https://mydss.mo.gov/mhd/MO-HealthNet-coverage-FAQ""]",4
Molina Complete Care of Virginia,[],0,[],0,[],0
Molina Healthcare of Illinois,[],0,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx"", ""https://www.molinahealthcare.com/providers/il/medicaid/resource/Molina-Medical-Coverage-Guidelines.aspx""]",2,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx"", ""https://www.molinahealthcare.com/providers/il/medicaid/resource/Molina-Medical-Coverage-Guidelines.aspx""]",2
Molina Healthcare of New York,[],0,[],0,[],0
Molina Healthcare of South Carolina,[],0,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx"", ""https://www.molinamarketplace.com/members/common/en-US/clinicalpolicies.aspx""]",2,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx"", ""https://www.molinamarketplace.com/members/common/en-US/clinicalpolicies.aspx""]",2
Molina Healthcare of Texas,"[""https://www.molinamarketplace.com/marketplace/tx/en-us/Providers/Policies/Preauthorization_Information/Molina%20Clinical%20Policy%20Genetic%20Testing.pdf""]",1,"[""https://www.molinamarketplace.com/marketplace/tx/en-us/Providers/Policies/Preauthorization_Information""]",1,"[""https://www.molinamarketplace.com/marketplace/tx/en-us/Providers/Policies/Preauthorization_Information/Molina%20Clinical%20Policy%20Genetic%20Testing.pdf"", ""https://www.molinamarketplace.com/marketplace/tx/en-us/Providers/Policies/Preauthorization_Information""]",2
Molina Healthcare of Utah,[],0,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx"", ""https://www.molinamarketplace.com/members/common/en-US/clinicalpolicies.aspx""]",2,"[""https://www.molinahealthcare.com/providers/il/duals/resource/Molina-Medical-Coverage-Guidelines.aspx"", ""https://www.molinamarketplace.com/members/common/en-US/clinicalpolicies.aspx""]",2
Montana Medicaid,[],0,"[""https://dphhs.mt.gov/ecfsd/cshs/geneticfinancialassistance"", ""https://securemedicaidprovider.mt.gov/priorauthorization"", ""https://securemedicaidprovider.mt.gov/manuals/physicianrelatedservicesmanual""]",3,"[""https://dphhs.mt.gov/ecfsd/cshs/geneticfinancialassistance"", ""https://securemedicaidprovider.mt.gov/priorauthorization"", ""https://securemedicaidprovider.mt.gov/manuals/physicianrelatedservicesmanual""]",3
Multiplan,[],0,[],0,[],0
"MVP Health Plan, MVP Select Care, MVP Affiliates","[""https://www.mvphealthcare.com/wp-content/uploads/download-manager-files/Medical%20Policies%20Effective%20January%201%202025.pdf"", ""https://www.mvphealthcare.com/wp-content/uploads/download-manager-files/Medical%20Policies%20Effective%20April%201%202025.pdf""]",2,"[""https://www.mvphealthcare.com/providers/reference-library/policies-payment""]",1,"[""https://www.mvphealthcare.com/wp-content/uploads/download-manager-files/Medical%20Policies%20Effective%20January%201%202025.pdf"", ""https://www.mvphealthcare.com/wp-content/uploads/download-manager-files/Medical%20Policies%20Effective%20April%201%202025.pdf"", ""https://www.mvphealthcare.com/providers/reference-library/policies-payment""]",3
Nebraska Blue,[],0,"[""https://www.nebraskablue.com/Providers/Alerts-and-Updates/medical-policy-update/genetic-testing-update-10022024"", ""https://www.nebraskablue.com/en/Providers/Alerts-and-Updates/Medical-Policy-Update/MPC-April-2023"", ""https://medicalpolicy.nebraskablue.com/home""]",3,"[""https://www.nebraskablue.com/Providers/Alerts-and-Updates/medical-policy-update/genetic-testing-update-10022024"", ""https://www.nebraskablue.com/en/Providers/Alerts-and-Updates/Medical-Policy-Update/MPC-April-2023"", ""https://medicalpolicy.nebraskablue.com/home""]",3
Nebraska Medicaid,[],0,"[""https://nebraskalegislature.gov/laws/statutes.php?statute=68-911"", ""https://nebraskalegislature.gov/laws/statutes.php?statute=44-7,100"", ""https://nebraskalegislature.gov/laws/statutes.php?statute=71-519"", ""https://casetext.com/regulation/nebraska-administrative-code/health-and-human-services-system/title-471-nebraska-medical-assistance-program-services/chapter-1-administration/section-471-1-002-nebraska-medicaid-coverable-services""]",4,"[""https://nebraskalegislature.gov/laws/statutes.php?statute=68-911"", ""https://nebraskalegislature.gov/laws/statutes.php?statute=44-7,100"", ""https://nebraskalegislature.gov/laws/statutes.php?statute=71-519"", ""https://casetext.com/regulation/nebraska-administrative-code/health-and-human-services-system/title-471-nebraska-medical-assistance-program-services/chapter-1-administration/section-471-1-002-nebraska-medicaid-coverable-services""]",4
Neighborhood Health Plan of Rhode island,"[""https://www.nhpri.org/wp-content/uploads/2023/09/Gene-Therapy-Billing-Policy-09052023.pdf""]",1,"[""https://www.nhpri.org/providers/policies-and-guidelines/billing-guidelines-and-payment-policies/""]",1,"[""https://www.nhpri.org/wp-content/uploads/2023/09/Gene-Therapy-Billing-Policy-09052023.pdf"", ""https://www.nhpri.org/providers/policies-and-guidelines/billing-guidelines-and-payment-policies/""]",2
Network Health,[],0,[],0,[],0
Nevada Medicaid,[],0,"[""https://www.leg.state.nv.us/NRS/NRS-695G.html""]",1,"[""https://www.leg.state.nv.us/NRS/NRS-695G.html""]",1
New Hampshire Medicaid,"[""https://nhmmis.nh.gov/portals/wps/wcm/connect/cfb10baa-0c2d-4ee3-9561-98800ef579ce/Instructions+Fee-for-Service+Authorization+Forms+07.2023.pdf?MOD=AJPERES&CVID=oDviiov"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/aedd7402-f1ec-49fc-aefe-f6c449514cd3/273AT+FFS+Services+Not+Otherwise+Addressed+07.2023.pdf?MOD=AJPERES&CVID=oDvlava"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/5c80b6fe-1a37-4d9e-b15e-30222d0c94cf/2023+Fee+Schedule+-+Covered+Procedures+Report+with+SA+Requirement+as+of+07-01-2023.pdf?MOD=AJPERES&CVID=oCYD7R8"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/0cd643c2-5855-4a93-9323-3e664ad1f634/NHCSR-OMBP-Duchenne_Muscular_Dystrophy_Agents_Criteria.pdf-20230227.pdf?MOD=AJPERES&CVID=oqA8rMS"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/51150939-4d3e-4ecb-b314-c4c51a730701/NHCSR-OMBP+Spinal_Muscular_Atrophy_Criteria.pdf-20230227.pdf?MOD=AJPERES&CVID=oqAasYd""]",5,"[""https://www.dhhs.nh.gov/programs-services/medicaid/medicaid-state-plan""]",1,"[""https://nhmmis.nh.gov/portals/wps/wcm/connect/cfb10baa-0c2d-4ee3-9561-98800ef579ce/Instructions+Fee-for-Service+Authorization+Forms+07.2023.pdf?MOD=AJPERES&CVID=oDviiov"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/aedd7402-f1ec-49fc-aefe-f6c449514cd3/273AT+FFS+Services+Not+Otherwise+Addressed+07.2023.pdf?MOD=AJPERES&CVID=oDvlava"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/5c80b6fe-1a37-4d9e-b15e-30222d0c94cf/2023+Fee+Schedule+-+Covered+Procedures+Report+with+SA+Requirement+as+of+07-01-2023.pdf?MOD=AJPERES&CVID=oCYD7R8"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/0cd643c2-5855-4a93-9323-3e664ad1f634/NHCSR-OMBP-Duchenne_Muscular_Dystrophy_Agents_Criteria.pdf-20230227.pdf?MOD=AJPERES&CVID=oqA8rMS"", ""https://nhmmis.nh.gov/portals/wps/wcm/connect/51150939-4d3e-4ecb-b314-c4c51a730701/NHCSR-OMBP+Spinal_Muscular_Atrophy_Criteria.pdf-20230227.pdf?MOD=AJPERES&CVID=oqAasYd"", ""https://www.dhhs.nh.gov/programs-services/medicaid/medicaid-state-plan""]",6
New Jersey Medicaid,"[""https://www.njmmis.com/downloadDocuments/OperationalManual_2023.pdf"", ""https://www.nj.gov/humanservices/providers/rulefees/regs/rulesfiles/NJAC%2010_61%20INDEPENDENT%20CLINICAL%20LABORATORIES.PDF""]",2,"[""https://www.nj.gov/health/fhs/nbs/genetic/"", ""https://www.nj.gov/health/fhs/nbs/index.shtml""]",2,"[""https://www.njmmis.com/downloadDocuments/OperationalManual_2023.pdf"", ""https://www.nj.gov/humanservices/providers/rulefees/regs/rulesfiles/NJAC%2010_61%20INDEPENDENT%20CLINICAL%20LABORATORIES.PDF"", ""https://www.nj.gov/health/fhs/nbs/genetic/"", ""https://www.nj.gov/health/fhs/nbs/index.shtml""]",4
New Mexico Medicaid,"[""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Turquoise-Care-Managed-Care-Policy-Manual-Effective-July-1-2024.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-01-General-Provisions-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-02-Provider-Networks-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-03-Member-Education-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-04-Care-Coordination-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-05-Transitions-of-Care-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-06-Nursing-Facilities-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-07-Community-Benefits-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-08-Agency-Based-Community-Benefits-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-09-Self-Directed-Community-Benefits-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-10-Reserved-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-11-Marketing-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-12-Patient-Centered-Initiatives-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-13-Alternative-Benefit-Packages-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-14-School-Based-Health-Centers-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-15-ITU-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-16-Fair-Hearings-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-17-Managed-Care-Reporting-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-18-Quality-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-19-Program-Integrity-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-20-Pharmacy-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-21-Manual-Acronyms-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2020/10/Centennial-Care-Managed-Care-Policy-Manual-Effective-October-1-2020.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2019/01/Centennial-Care-Managed-Care-Policy-Manual-Effective-January-1-2019.pdf""]",24,"[""https://www.hsd.state.nm.us/providers/managed-care-policy-manual/"", ""https://www.nmlegis.gov/Sessions/23%20Regular/bills/house/HB0073.html"", ""https://www.srca.nm.gov/parts/title13/13.010.0024.html""]",3,"[""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Turquoise-Care-Managed-Care-Policy-Manual-Effective-July-1-2024.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-01-General-Provisions-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-02-Provider-Networks-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-03-Member-Education-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-04-Care-Coordination-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-05-Transitions-of-Care-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-06-Nursing-Facilities-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-07-Community-Benefits-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-08-Agency-Based-Community-Benefits-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-09-Self-Directed-Community-Benefits-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-10-Reserved-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-11-Marketing-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-12-Patient-Centered-Initiatives-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-13-Alternative-Benefit-Packages-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-14-School-Based-Health-Centers-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-15-ITU-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-16-Fair-Hearings-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-17-Managed-Care-Reporting-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-18-Quality-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-19-Program-Integrity-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-20-Pharmacy-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2024/07/Section-21-Manual-Acronyms-Final.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2020/10/Centennial-Care-Managed-Care-Policy-Manual-Effective-October-1-2020.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/2019/01/Centennial-Care-Managed-Care-Policy-Manual-Effective-January-1-2019.pdf"", ""https://www.hsd.state.nm.us/providers/managed-care-policy-manual/"", ""https://www.nmlegis.gov/Sessions/23%20Regular/bills/house/HB0073.html"", ""https://www.srca.nm.gov/parts/title13/13.010.0024.html""]",27
New York Medicaid,[],0,"[""https://www.health.ny.gov/health_care/medicaid/program/update/2022/no01_2022-01.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2015/2015-10.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2015/2015-07.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2014/2014-09.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2023/no17_2023-12.htm""]",5,"[""https://www.health.ny.gov/health_care/medicaid/program/update/2022/no01_2022-01.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2015/2015-10.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2015/2015-07.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2014/2014-09.htm"", ""https://www.health.ny.gov/health_care/medicaid/program/update/2023/no17_2023-12.htm""]",5
North Dakota Medicaid,"[""https://www.nd.gov/eforms/Doc/sfn00527.pdf"", ""https://www.hhs.nd.gov/sites/www/files/documents/2023-professional-fee-schedule.pdf""]",2,"[""https://www.hhs.nd.gov/healthcare/medicaid/provider/manuals-and-guidelines"", ""https://www.hhs.nd.gov/medicaid-member-engagement/handbook"", ""https://ndmedicaid.acentra.com/""]",3,"[""https://www.nd.gov/eforms/Doc/sfn00527.pdf"", ""https://www.hhs.nd.gov/sites/www/files/documents/2023-professional-fee-schedule.pdf"", ""https://www.hhs.nd.gov/healthcare/medicaid/provider/manuals-and-guidelines"", ""https://www.hhs.nd.gov/medicaid-member-engagement/handbook"", ""https://ndmedicaid.acentra.com/""]",5
Northshore Physician Associates,[],0,[],0,[],0
Ohio Medicaid,[],0,"[""https://codes.ohio.gov/ohio-revised-code/section-1751.65"", ""https://www.law.cornell.edu/regulations/ohio/Ohio-Admin-Code-5160-11-11""]",2,"[""https://codes.ohio.gov/ohio-revised-code/section-1751.65"", ""https://www.law.cornell.edu/regulations/ohio/Ohio-Admin-Code-5160-11-11""]",2
Oklahoma Medicaid,"[""https://oklahoma.gov/content/dam/ok/en/okhca/docs/providers/types/molecular-pathology/Genetic%20Molecular%20Pathology%20Guideline%203-7-2023.pdf""]",1,"[""https://oklahoma.gov/ohca/policies-and-rules/xpolicy/medical-providers-fee-for-service/individual-providers-and-specialties/genetic-counselors/coverage.html"", ""https://oklahoma.gov/ohca/providers/types/pharmacy/prior-authorization/2024/genetic-disorders.html""]",2,"[""https://oklahoma.gov/content/dam/ok/en/okhca/docs/providers/types/molecular-pathology/Genetic%20Molecular%20Pathology%20Guideline%203-7-2023.pdf"", ""https://oklahoma.gov/ohca/policies-and-rules/xpolicy/medical-providers-fee-for-service/individual-providers-and-specialties/genetic-counselors/coverage.html"", ""https://oklahoma.gov/ohca/providers/types/pharmacy/prior-authorization/2024/genetic-disorders.html""]",3
Oregon Medicaid,"[""https://www.oregon.gov/oha/HPA/DSI-HERC/PrioritizedList/10-1-2023%20Prioritized%20List%20of%20Health%20Services.pdf"", ""https://www.oregon.gov/oha/HSD/OHP/DataReportsDocs/fee-schedule0923.pdf"", ""https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/GENETICCONDITIONS/Documents/HowDoIPayforGeneticServices.pdf""]",3,"[""https://www.oregon.gov/oha/hsd/ohp/pages/prioritized-list.aspx"", ""https://www.oregon.gov/oha/hsd/ohp/pages/pa.aspx"", ""https://www.oregon.gov/oha/hsd/ohp/pages/epsdt.aspx""]",3,"[""https://www.oregon.gov/oha/HPA/DSI-HERC/PrioritizedList/10-1-2023%20Prioritized%20List%20of%20Health%20Services.pdf"", ""https://www.oregon.gov/oha/HSD/OHP/DataReportsDocs/fee-schedule0923.pdf"", ""https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/GENETICCONDITIONS/Documents/HowDoIPayforGeneticServices.pdf"", ""https://www.oregon.gov/oha/hsd/ohp/pages/prioritized-list.aspx"", ""https://www.oregon.gov/oha/hsd/ohp/pages/pa.aspx"", ""https://www.oregon.gov/oha/hsd/ohp/pages/epsdt.aspx""]",6
Oscar,"[""https://www.hioscar.com/clinical-guidelines/medical"", ""https://www.hioscar.com/prior-authorization""]",2,"[""https://hioscar.zendesk.com/hc/en-us/articles/1500005897302-Certificate-of-coverage""]",1,"[""https://www.hioscar.com/clinical-guidelines/medical"", ""https://www.hioscar.com/prior-authorization"", ""https://hioscar.zendesk.com/hc/en-us/articles/1500005897302-Certificate-of-coverage""]",3
Oxford Health Plans,[],0,"[""https://www.uhcprovider.com/en/resource-library/news/2024/changes-genetic-molecular-testing-coverage-pa-requirements.html"", ""https://www.uhcprovider.com/en/policies-protocols/commercial-policies/oxford-policies.html""]",2,"[""https://www.uhcprovider.com/en/resource-library/news/2024/changes-genetic-molecular-testing-coverage-pa-requirements.html"", ""https://www.uhcprovider.com/en/policies-protocols/commercial-policies/oxford-policies.html""]",2
PacificSource Community Solutions,"[""https://medicare.pacificsource.com/Providers/Documents/AIM%20Portal%20Genetic%20Testing%20User%20Guide.pdf""]",1,"[""https://pacificsource.com/article/genetic-testing-guideline-changes-effective-march-11-2023"", ""https://pacificsource.com/providers/clinical-policies-and-practice-guidelines""]",2,"[""https://medicare.pacificsource.com/Providers/Documents/AIM%20Portal%20Genetic%20Testing%20User%20Guide.pdf"", ""https://pacificsource.com/article/genetic-testing-guideline-changes-effective-march-11-2023"", ""https://pacificsource.com/providers/clinical-policies-and-practice-guidelines""]",3
PacificSource Health,"[""https://medicare.pacificsource.com/Providers/Documents/AIM%20Portal%20Genetic%20Testing%20User%20Guide.pdf""]",1,"[""https://pacificsource.com/providers/medical-prior-authorization"", ""https://pacificsource.com/members/getting-care/prior-authorization"", ""https://pacificsource.com/article/imaging-and-genetic-testing-review-timelines-change"", ""https://pacificsource.com/article/genetic-testing-guideline-changes-effective-march-11-2023"", ""https://pacificsource.com/providers/clinical-policies-and-practice-guidelines""]",5,"[""https://medicare.pacificsource.com/Providers/Documents/AIM%20Portal%20Genetic%20Testing%20User%20Guide.pdf"", ""https://pacificsource.com/providers/medical-prior-authorization"", ""https://pacificsource.com/members/getting-care/prior-authorization"", ""https://pacificsource.com/article/imaging-and-genetic-testing-review-timelines-change"", ""https://pacificsource.com/article/genetic-testing-guideline-changes-effective-march-11-2023"", ""https://pacificsource.com/providers/clinical-policies-and-practice-guidelines""]",6
Parkland Community Health Plan,[],0,"[""https://providers.parklandhealthplan.com/prior-authorization/lookup-tool/"", ""https://parklandhealthplan.com/members/resources/""]",2,"[""https://providers.parklandhealthplan.com/prior-authorization/lookup-tool/"", ""https://parklandhealthplan.com/members/resources/""]",2
Partners Health Plan,[],0,[],0,[],0
Pennsylvania Medicaid,"[""https://www.legis.state.pa.us/WU01/LI/LI/US/HTM/2023/0/0001..HTM"", ""https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?billBody=S&billNbr=965&billTyp=B&pn=1215&sessInd=0&sessYr=2023&txtType=HTM"", ""https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?billBody=S&billNbr=0954&billTyp=B&pn=1144&sessInd=0&sessYr=2023&txtType=HTM""]",3,[],0,"[""https://www.legis.state.pa.us/WU01/LI/LI/US/HTM/2023/0/0001..HTM"", ""https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?billBody=S&billNbr=965&billTyp=B&pn=1215&sessInd=0&sessYr=2023&txtType=HTM"", ""https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?billBody=S&billNbr=0954&billTyp=B&pn=1144&sessInd=0&sessYr=2023&txtType=HTM""]",3
Piedmont Community Health Plan,[],0,"[""https://pchp.net/index.php/clinical-policies.html""]",1,"[""https://pchp.net/index.php/clinical-policies.html""]",1
Point32Health - Harvard Pilgrim,[],0,[],0,[],0
Point32Health - Tufts Health Plan,[],0,"[""https://www.point32health.org/provider/news/prior-authorization-required-for-noninvasive-prenatal-testing/"", ""https://www.point32health.org/provider/news/point32health-medical-necessity-guideline-updates-10/"", ""https://www.point32health.org/provider/news/ppaca-coverage-policy-updates-for-2025/"", ""https://providers.carelonmedicalbenefitsmanagement.com/point32health/program-resources/"", ""https://tuftshealthplan.com/member/tufts-health-together-plans/benefits-costs/covered-services""]",5,"[""https://www.point32health.org/provider/news/prior-authorization-required-for-noninvasive-prenatal-testing/"", ""https://www.point32health.org/provider/news/point32health-medical-necessity-guideline-updates-10/"", ""https://www.point32health.org/provider/news/ppaca-coverage-policy-updates-for-2025/"", ""https://providers.carelonmedicalbenefitsmanagement.com/point32health/program-resources/"", ""https://tuftshealthplan.com/member/tufts-health-together-plans/benefits-costs/covered-services""]",5
Priority Health of MI,[],0,"[""https://generics.priority-health.com/provider/manual/news/billing-and-payment/08-07-2024-new-coding-policies-posted-to-the-provider-manual"", ""https://www.priorityhealth.com/provider/manual/news/standards/08-21-2024-august-2024-medical-policy-updates""]",2,"[""https://generics.priority-health.com/provider/manual/news/billing-and-payment/08-07-2024-new-coding-policies-posted-to-the-provider-manual"", ""https://www.priorityhealth.com/provider/manual/news/standards/08-21-2024-august-2024-medical-policy-updates""]",2
Priority Partners,[],0,[],0,[],0
Quartz Health Plan Corporation,[],0,"[""https://quartzbenefits.com/providers/prior-authorization/medicare-advantage-pior-authorization-list/"", ""https://quartzbenefits.com/members/prior-authorization/member-general-prior-authorization-list/""]",2,"[""https://quartzbenefits.com/providers/prior-authorization/medicare-advantage-pior-authorization-list/"", ""https://quartzbenefits.com/members/prior-authorization/member-general-prior-authorization-list/""]",2
Regence BCBS Oregon,"[""https://ump.regence.com/provider/pre-authorization/ump"", ""https://ump.regence.com/provider/pre-authorization/commercial""]",2,"[""https://blue.regence.com/policy/""]",1,"[""https://ump.regence.com/provider/pre-authorization/ump"", ""https://ump.regence.com/provider/pre-authorization/commercial"", ""https://blue.regence.com/policy/""]",3
Regence BCBS Utah,"[""https://ump.regence.com/provider/pre-authorization/ump"", ""https://ump.regence.com/provider/pre-authorization/commercial""]",2,"[""https://www.regence.com/provider/library/policies-guidelines/medical-policy/recent-updates"", ""https://www-prd2.regence.com/provider/library/policies-guidelines/medical-policy/ma-recent-updates""]",2,"[""https://ump.regence.com/provider/pre-authorization/ump"", ""https://ump.regence.com/provider/pre-authorization/commercial"", ""https://www.regence.com/provider/library/policies-guidelines/medical-policy/recent-updates"", ""https://www-prd2.regence.com/provider/library/policies-guidelines/medical-policy/ma-recent-updates""]",4
Regence BS Idaho,"[""https://ump.regence.com/provider/pre-authorization/commercial"", ""https://ump.regence.com/provider/pre-authorization/ump""]",2,"[""https://blue.regence.com/policy/"", ""https://www.regence.com/provider/library/policies-guidelines/medical-policy/recent-updates""]",2,"[""https://ump.regence.com/provider/pre-authorization/commercial"", ""https://ump.regence.com/provider/pre-authorization/ump"", ""https://blue.regence.com/policy/"", ""https://www.regence.com/provider/library/policies-guidelines/medical-policy/recent-updates""]",4
Regence BS Washington,"[""https://ump.regence.com/provider/pre-authorization/ump"", ""https://ump.regence.com/provider/pre-authorization/commercial""]",2,"[""https://www.regence.com/provider/library/policies-guidelines/medical-policy/recent-updates"", ""https://blue.regence.com/policy/""]",2,"[""https://ump.regence.com/provider/pre-authorization/ump"", ""https://ump.regence.com/provider/pre-authorization/commercial"", ""https://www.regence.com/provider/library/policies-guidelines/medical-policy/recent-updates"", ""https://blue.regence.com/policy/""]",4
